epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1413.93,1.99154,1.98028,1.90692,0.62618,0.51096,0.54762,0.33004,1.51179,1.27595,1.52713,0.0670268,0.000333063,0.000333063
2,2839.95,1.4032,1.25326,1.40312,0.65824,0.55885,0.60127,0.38584,1.36262,1.12655,1.40576,0.0340136,0.000653202,0.000653202
3,4264.15,1.31369,1.14777,1.34257,0.68599,0.57651,0.62961,0.41561,1.28683,1.0531,1.36304,0.000987175,0.00096014,0.00096014
4,5686.15,1.26133,1.08719,1.30798,0.70479,0.59682,0.6479,0.43585,1.24198,0.99457,1.32684,0.0009406,0.0009406,0.0009406
5,7106.67,1.22504,1.04588,1.2845,0.71593,0.60581,0.66229,0.44948,1.21921,0.95912,1.30777,0.0009208,0.0009208,0.0009208
6,8525.03,1.20205,1.02049,1.27014,0.72746,0.61066,0.67219,0.4615,1.19086,0.92944,1.28629,0.000901,0.000901,0.000901
7,9941.04,1.1849,1.00273,1.2589,0.7186,0.62397,0.67959,0.4707,1.1744,0.91348,1.27355,0.0008812,0.0008812,0.0008812
8,11355.8,1.17068,0.98801,1.24973,0.74018,0.62053,0.68772,0.47739,1.16199,0.8987,1.26451,0.0008614,0.0008614,0.0008614
9,12768.5,1.16058,0.97722,1.24217,0.74323,0.62223,0.68863,0.48182,1.15297,0.88846,1.2586,0.0008416,0.0008416,0.0008416
10,14178.8,1.15288,0.96604,1.23611,0.73086,0.63292,0.6929,0.48671,1.14317,0.88037,1.25168,0.0008218,0.0008218,0.0008218
11,15584.8,1.14482,0.95857,1.22993,0.74022,0.62833,0.69295,0.48781,1.13584,0.87161,1.24639,0.000802,0.000802,0.000802
12,16987.9,1.1392,0.94984,1.22588,0.74836,0.62571,0.695,0.48975,1.13229,0.86655,1.2427,0.0007822,0.0007822,0.0007822
13,18390.4,1.13083,0.94272,1.2208,0.7473,0.62949,0.69673,0.49203,1.12811,0.86233,1.23921,0.0007624,0.0007624,0.0007624
14,19795.2,1.12624,0.93652,1.21727,0.74974,0.62766,0.69765,0.49317,1.12386,0.86077,1.23609,0.0007426,0.0007426,0.0007426
15,21205,1.11887,0.9325,1.21306,0.74327,0.63335,0.69845,0.49468,1.12146,0.85854,1.23439,0.0007228,0.0007228,0.0007228
16,22617.9,1.1133,0.9248,1.20897,0.73686,0.64023,0.69881,0.49555,1.12008,0.85668,1.23309,0.000703,0.000703,0.000703
17,24034.7,1.11731,0.92332,1.20905,0.73833,0.6396,0.69933,0.49618,1.118,0.85422,1.23142,0.0006832,0.0006832,0.0006832
18,25423.9,1.10685,0.91577,1.20422,0.73844,0.63883,0.69955,0.49693,1.11673,0.85285,1.22994,0.0006634,0.0006634,0.0006634
19,26795.4,1.10635,0.91184,1.20039,0.73739,0.64003,0.70024,0.49734,1.1153,0.85192,1.22859,0.0006436,0.0006436,0.0006436
20,28168.6,1.09961,0.90597,1.19804,0.73707,0.63949,0.70057,0.49745,1.11385,0.85046,1.22715,0.0006238,0.0006238,0.0006238
