epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1360.25,2.03757,1.97632,1.91495,0.64713,0.5127,0.55172,0.32635,1.56407,1.29143,1.55943,0.0670268,0.000333063,0.000333063
2,2734.04,1.42905,1.24394,1.4044,0.6865,0.56113,0.61143,0.38466,1.40445,1.11977,1.42506,0.0340136,0.000653202,0.000653202
3,4109.79,1.3377,1.14403,1.34587,0.70429,0.58124,0.63508,0.4161,1.30831,1.05119,1.36242,0.000987175,0.00096014,0.00096014
4,5483.81,1.28602,1.08459,1.31298,0.72331,0.60563,0.65724,0.43715,1.26582,0.99079,1.32824,0.0009406,0.0009406,0.0009406
5,6856.91,1.248,1.04265,1.29028,0.71808,0.6102,0.66718,0.44971,1.2349,0.96036,1.30606,0.0009208,0.0009208,0.0009208
6,8232.26,1.22398,1.01713,1.27594,0.73609,0.61882,0.67773,0.46182,1.21077,0.93475,1.29025,0.000901,0.000901,0.000901
7,9605.32,1.20698,1.00058,1.26483,0.7426,0.62192,0.68306,0.46882,1.19279,0.91739,1.27735,0.0008812,0.0008812,0.0008812
8,10977.7,1.19201,0.98498,1.2558,0.74707,0.628,0.69055,0.4767,1.17993,0.90246,1.2678,0.0008614,0.0008614,0.0008614
9,12350.5,1.18146,0.97513,1.24861,0.74522,0.63464,0.69354,0.48087,1.17066,0.89152,1.26225,0.0008416,0.0008416,0.0008416
10,13723.3,1.17445,0.96412,1.24231,0.74262,0.63818,0.69652,0.48302,1.16028,0.88277,1.25291,0.0008218,0.0008218,0.0008218
11,15094.5,1.16694,0.95692,1.23742,0.75265,0.63547,0.69807,0.4859,1.15367,0.87449,1.24827,0.000802,0.000802,0.000802
12,16466.4,1.15891,0.94731,1.23215,0.75082,0.63898,0.70073,0.48924,1.1485,0.86957,1.24449,0.0007822,0.0007822,0.0007822
13,17838.9,1.15131,0.94109,1.22662,0.74788,0.63928,0.70126,0.49064,1.14569,0.866,1.24253,0.0007624,0.0007624,0.0007624
